*** New Session***
25-7-2018 15:56:54
Product Name: 30 Flux
25378937 : Rx fail
25379187 : Rx: [19][5B][38][97][84][7A][20][33]
25379437 : Rx: [10][19][BE][2F][A2][0A][FF][34]
25379687 : Rx: [19][5C][36][0C][85][75][20][33]
25379937 : Rx: [10][19][C0][30][FB][09][FF][34]
25380187 : Rx: [19][5D][34][76][85][6A][20][33]
25380437 : Rx: [10][19][C2][32][33][0A][FF][34]
25380687 : Rx: [19][5E][35][EA][85][74][20][33]
25380937 : Rx: [10][19][C4][33][33][0A][FF][34]
25381187 : Rx: [19][5F][35][5D][86][73][20][33]
25381437 : Rx: [10][19][C6][34][17][0A][FF][34]
25381687 : Rx: [F0][00][00][00][00][00][00][00]
25381937 : Rx: [10][19][C8][35][6A][0A][FF][34]
25382187 : Rx: [19][60][38][C4][86][67][20][33]
25382437 : Rx: [10][19][CA][37][86][0A][FF][34]
25382687 : Rx fail
25382937 : Rx: [10][19][CC][38][86][0A][FF][34]
25383187 : Rx: [19][62][37][B3][87][78][20][33]
25383437 : Rx: [10][19][CE][39][D9][0A][FF][34]
25383687 : Rx: [19][63][39][1E][88][6B][20][33]
25383937 : Rx: [10][19][D0][3B][F5][0A][FF][34]
25384187 : Rx: [19][64][39][88][88][6A][20][33]
25384437 : Rx fail
25384687 : Rx: [19][65][38][00][89][78][20][33]
25384937 : Rx: [10][19][D4][3D][D9][0A][FF][34]
25385187 : Rx: [19][66][39][69][89][69][20][33]
25385437 : Rx: [10][19][D6][3F][A2][0A][FF][34]
25385687 : Rx: [19][67][37][E1][89][78][20][33]
25385937 : Rx fail
25386187 : Rx: [19][68][38][48][8A][67][20][33]
25386437 : Rx: [10][19][DA][41][BE][0A][FF][34]
25386687 : Rx: [19][69][39][B3][8A][6B][20][33]
25386937 : Rx: [10][19][DC][43][48][0B][FF][34]
25387187 : Rx: [19][6A][3B][25][8B][72][20][33]
25387437 : Rx: [10][19][DE][44][9C][0B][FF][34]
25387687 : Rx: [19][6B][3D][9F][8B][7A][20][33]
25387937 : Rx: [10][19][E0][45][80][0B][FF][34]
25388187 : Rx: [19][6C][3C][17][8C][78][20][33]
25388437 : Rx: [10][19][E2][47][64][0B][FF][34]
25388687 : Rx: [19][6D][3B][8A][8C][73][20][33]
25388937 : Rx fail
25389187 : Rx fail
25389437 : Rx: [10][19][E6][4A][D3][0B][FF][34]
25389687 : Rx: [51][FF][02][14][87][9E][5C][33]
25389937 : Rx: [51][FF][02][14][87][9E][5C][33]
25390187 : Rx: [19][6F][3E][7C][8D][7F][20][33]
25390437 : Rx: [10][19][EA][4C][80][0B][FF][34]
25390687 : Rx: [19][70][39][DB][8D][5F][20][33]
25390937 : Rx: [10][19][EC][4E][F5][0A][FF][34]
25391187 : Rx: [19][71][39][46][8E][6B][20][33]
25391437 : Rx: [10][19][EE][4F][F5][0A][FF][34]
25391687 : Rx: [19][72][3C][BC][8E][76][20][33]
25391937 : Rx: [10][19][F0][50][64][0B][FF][34]
25392187 : Rx: [19][73][3C][31][8F][75][20][33]
