*** New Session***
31-7-2018 08:56:19
Product Name: Genius -30
61236671 : Rx: [10][19][61][82][7C][3A][FF][34]
61236921 : Rx: [19][5A][69][13][3D][72][00][30]
61237171 : Rx: [10][19][63][88][CF][3A][FF][34]
61237421 : Rx: [19][5B][6A][89][3D][76][00][30]
61237671 : Rx: [10][19][65][8D][60][3A][FF][34]
61237921 : Rx: [19][5C][6A][04][3E][7B][00][30]
61238171 : Rx fail
61238421 : Rx: [10][19][67][99][60][3A][FF][34]
61238671 : Rx: [10][19][69][9E][EB][3A][FF][34]
61238921 : Rx: [19][5E][6B][13][3F][89][00][30]
61239171 : Rx: [10][19][6B][A4][7C][3A][FF][34]
61239421 : Rx fail
61239671 : Rx: [10][19][6D][A4][98][3A][FF][34]
61239921 : Rx fail
61240171 : Rx fail
61240421 : Rx: [19][61][6E][BB][40][92][00][30]
61240671 : Rx: [10][19][71][BC][07][3B][FF][34]
61240921 : Rx: [19][62][6F][51][41][96][00][30]
61241171 : Rx: [10][19][73][C2][EB][3A][FF][34]
61241421 : Rx: [51][FF][02][13][85][11][00][00]
61241671 : Rx: [51][FF][02][13][85][11][00][00]
61241921 : Rx: [19][63][6F][00][42][AF][00][30]
61242171 : Rx: [10][19][77][D3][5A][3B][FF][34]
61242421 : Rx: [19][64][70][BA][42][BA][00][30]
61242671 : Rx: [10][19][79][D9][92][3B][FF][34]
61242921 : Rx: [19][65][70][82][43][C8][00][30]
61243171 : Rx: [10][19][7B][E4][5A][3B][FF][34]
61243421 : Rx: [19][66][70][50][44][CE][00][30]
61243671 : Rx: [10][19][7D][E4][92][3B][FF][34]
61243921 : Rx: [19][67][70][1E][45][CE][00][30]
61244171 : Rx: [10][19][7F][F0][5A][3B][FF][34]
61244421 : Rx: [19][68][71][FB][45][DD][00][30]
61244671 : Rx: [10][19][81][F5][92][3B][FF][34]
61244921 : Rx: [19][69][70][EE][46][F3][00][30]
61245171 : Rx: [10][19][83][F5][70][3C][FF][34]
61245421 : Rx: [19][6A][71][E5][47][F7][00][30]
61245671 : Rx: [10][19][85][07][01][3C][FF][34]
61245921 : Rx: [19][6B][71][DC][48][F7][00][30]
61246171 : Rx: [10][19][87][12][01][3C][FF][34]
61246421 : Rx: [19][6C][71][D3][49][F7][00][30]
61246671 : Rx: [10][19][89][18][01][3C][FF][34]
61246921 : Rx: [19][6D][76][E4][4A][11][01][30]
61247171 : Rx: [10][19][8B][18][C9][3B][FF][34]
61247421 : Rx fail
61247671 : Rx: [10][19][8D][24][38][3C][FF][34]
61247921 : Rx: [19][6F][75][24][4D][2B][01][30]
61248171 : Rx: [10][19][8F][2F][70][3C][FF][34]
61248421 : Rx: [19][70][75][4F][4E][2B][01][30]
61248671 : Rx: [10][19][91][35][38][3C][FF][34]
61248921 : Rx: [19][71][75][88][4F][39][01][30]
61249171 : Rx: [10][19][93][3B][8C][3C][FF][34]
61249421 : Rx: [19][72][75][CB][50][43][01][30]
61249671 : Rx: [10][19][95][48][38][3C][FF][34]
61249921 : Rx: [F0][00][00][00][00][00][00][00]
61250171 : Rx: [10][19][97][4E][38][3C][FF][34]
61250421 : Rx: [19][73][75][2C][52][61][01][30]
61250671 : Rx: [10][19][99][54][54][3C][FF][34]
61250921 : Rx: [19][74][76][93][53][67][01][30]
61251171 : Rx: [10][19][9B][60][C3][3C][FF][34]
61251421 : Rx: [19][75][75][00][55][6D][01][30]
61251671 : Rx: [10][19][9D][60][C3][3C][FF][34]
61251921 : Rx: [19][76][76][6B][56][6B][01][30]
61252171 : Rx: [10][19][9F][6B][01][3C][FF][34]
61252421 : Rx: [19][77][74][CF][57][64][01][30]
61252671 : Rx: [10][19][A1][77][01][3C][FF][34]
61252921 : Rx fail
61253171 : Rx fail
61253421 : Rx: [19][79][6D][3C][5A][2C][01][30]
61253671 : Rx: [10][19][A5][82][CF][3A][FF][34]
61253921 : Rx: [19][7A][6D][57][5B][1B][01][30]
61254171 : Rx: [10][19][A7][8D][B3][3A][FF][34]
61254421 : Rx: [19][7B][6F][51][5C][FA][00][30]
