*** New Session***
31-7-2018 09:00:07
Product Name: Genius 30
61443421 : Rx: [19][DE][3D][4C][92][B3][00][30]
61443671 : Rx: [10][19][5D][01][B8][0B][FF][34]
61443921 : Rx fail
61444156 : Rx fail
61444421 : Rx: [19][E0][3D][B7][93][B6][00][30]
61444656 : Rx fail
61444921 : Rx: [19][E1][3D][6A][94][B3][00][30]
61445171 : Rx: [10][19][63][07][D3][0B][FF][34]
61445421 : Rx: [19][E2][3D][25][95][BB][00][30]
61445671 : Rx: [10][19][65][09][5E][0C][FF][34]
61445921 : Rx: [19][E3][3D][DD][95][B8][00][30]
61446171 : Rx: [10][19][67][09][B8][0B][FF][34]
61446421 : Rx: [19][E4][3D][97][96][BA][00][30]
61446671 : Rx: [10][19][69][0C][5E][0C][FF][34]
61446921 : Rx: [19][E5][3D][51][97][BA][00][30]
61447171 : Rx: [10][19][6B][0E][D3][0B][FF][34]
61447421 : Rx: [19][E6][3D][05][98][B4][00][30]
61447671 : Rx: [10][19][6D][10][B8][0B][FF][34]
61447906 : Rx fail
61448171 : Rx: [F0][00][00][00][00][00][00][00]
61448421 : Rx: [19][E7][3D][B5][98][B0][00][30]
61448656 : Rx: [10][19][71][11][B8][0B][FF][34]
61448906 : Rx: [19][E8][3D][65][99][B0][00][30]
61449156 : Rx: [10][19][73][14][0B][0C][FF][34]
61449406 : Rx: [19][E9][3C][17][9A][B2][00][30]
61449656 : Rx: [10][19][75][14][0B][0C][FF][34]
61449906 : Rx: [19][EA][3D][D3][9A][BC][00][30]
61450156 : Rx: [10][19][77][17][05][0D][FF][34]
61450406 : Rx: [19][EB][3D][8F][9B][BC][00][30]
61450656 : Rx: [10][19][79][18][05][0D][FF][34]
61450906 : Rx: [19][EC][3D][4B][9C][BC][00][30]
61451156 : Rx: [10][19][7B][1A][05][0D][FF][34]
61451406 : Rx: [19][ED][3D][08][9D][BD][00][30]
61451656 : Rx: [10][19][7D][1C][7A][0C][FF][34]
61451906 : Rx: [19][EE][3E][C6][9D][BE][00][30]
61452156 : Rx: [10][19][7F][1D][5E][0C][FF][34]
61452406 : Rx: [19][EF][3E][85][9E][BF][00][30]
61452656 : Rx: [10][19][81][20][5E][0C][FF][34]
61452906 : Rx: [19][F0][3F][4E][9F][C9][00][30]
61453156 : Rx fail
61453406 : Rx: [19][F1][3F][14][A0][C6][00][30]
61453656 : Rx: [10][19][85][22][5E][0C][FF][34]
61453906 : Rx: [19][F2][3F][D7][A0][C3][00][30]
61454156 : Rx: [10][19][87][24][5E][0C][FF][34]
61454406 : Rx: [19][F3][40][A3][A1][CC][00][30]
61454656 : Rx: [10][19][89][26][58][0D][FF][34]
61454906 : Rx: [19][F4][40][6A][A2][C7][00][30]
61455156 : Rx: [10][19][8B][27][B2][0C][FF][34]
61455406 : Rx: [19][F5][40][31][A3][C7][00][30]
61455656 : Rx: [10][19][8D][2A][B2][0C][FF][34]
61455906 : Rx: [50][FF][FF][01][59][00][20][08]
61456156 : Rx: [50][FF][FF][01][59][00][20][08]
61456406 : Rx: [19][F6][40][FA][A3][C9][00][30]
61456656 : Rx: [10][19][91][2C][96][0C][FF][34]
61456906 : Rx: [19][F7][40][C0][A4][C6][00][30]
61457156 : Rx: [10][19][93][2F][96][0C][FF][34]
61457406 : Rx fail
61457656 : Rx fail
61457906 : Rx: [19][F9][40][5A][A6][CC][00][30]
61458156 : Rx fail
61458421 : Rx: [19][FA][40][25][A7][CB][00][30]
61458671 : Rx: [10][19][99][32][05][0D][FF][34]
61458921 : Rx: [19][FB][41][F4][A7][CF][00][30]
61459171 : Rx: [10][19][9B][32][B2][0C][FF][34]
61459421 : Rx: [19][FC][40][C0][A8][CC][00][30]
61459671 : Rx: [10][19][9D][37][B2][0C][FF][34]
61459921 : Rx: [19][FD][41][8C][A9][CC][00][30]
61460171 : Rx: [10][19][9F][38][96][0C][FF][34]
61460421 : Rx: [19][FE][41][60][AA][D4][00][30]
61460671 : Rx: [10][19][A1][3A][3C][0D][FF][34]
61460921 : Rx: [19][FF][41][31][AB][D1][00][30]
61461171 : Rx: [10][19][A3][3B][E9][0C][FF][34]
61461421 : Rx: [19][00][42][FE][AB][CD][00][30]
61461671 : Rx: [10][19][A5][3D][96][0C][FF][34]
61461921 : Rx: [19][01][41][CD][AC][CF][00][30]
61462171 : Rx: [10][19][A7][3F][E9][0C][FF][34]
61462421 : Rx: [19][02][41][9C][AD][CF][00][30]
61462671 : Rx: [10][19][A9][41][CD][0C][FF][34]
61462921 : Rx: [19][03][41][64][AE][C8][00][30]
61463171 : Rx: [10][19][AB][42][42][0C][FF][34]
61463421 : Rx: [19][04][41][31][AF][CD][00][30]
61463671 : Rx: [10][19][AD][43][CD][0C][FF][34]
61463921 : Rx: [19][05][41][FC][AF][CB][00][30]
61464171 : Rx: [10][19][AF][46][CD][0C][FF][34]
61464421 : Rx: [F0][00][00][00][00][00][00][00]
61464656 : Rx fail
61464921 : Rx: [19][06][41][C4][B0][C8][00][30]
61465171 : Rx: [10][19][B3][48][05][0D][FF][34]
61465421 : Rx: [19][07][41][8F][B1][CB][00][30]
61465671 : Rx: [10][19][B5][4B][5E][0C][FF][34]
61465921 : Rx: [19][08][40][4E][B2][BF][00][30]
61466171 : Rx: [10][19][B7][4C][D3][0B][FF][34]
61466421 : Rx: [19][09][40][12][B3][C4][00][30]
61466671 : Rx: [10][19][B9][4D][96][0C][FF][34]
61466921 : Rx fail
61467171 : Rx: [19][0A][40][D5][B3][C3][00][30]
61467421 : Rx: [19][0B][40][97][B4][C2][00][30]
61467671 : Rx: [10][19][BD][50][42][0C][FF][34]
61467921 : Rx fail
61468171 : Rx: [10][19][BF][52][E9][0C][FF][34]
61468421 : Rx: [19][0D][3F][22][B6][C6][00][30]
61468671 : Rx: [10][19][C1][53][CD][0C][FF][34]
61468921 : Rx: [19][0E][3F][E7][B6][C5][00][30]
61469171 : Rx: [10][19][C3][56][7A][0C][FF][34]
61469421 : Rx: [19][0F][3F][A9][B7][C2][00][30]
61469671 : Rx: [10][19][C5][57][7A][0C][FF][34]
61469921 : Rx fail
61470171 : Rx: [10][19][C7][58][AC][0D][FF][34]
61470421 : Rx fail
61470671 : Rx fail
61470921 : Rx: [19][12][40][11][BA][D2][00][30]
61471171 : Rx fail
61471421 : Rx fail
61471671 : Rx: [10][19][CD][5E][AC][0D][FF][34]
61471921 : Rx: [19][14][41][BB][BB][D7][00][30]
61472171 : Rx: [10][19][CF][5F][FF][0D][FF][34]
61472421 : Rx: [51][FF][02][13][85][11][00][00]
61472671 : Rx: [51][FF][02][13][85][11][00][00]
61472921 : Rx: [19][15][42][90][BC][D5][00][30]
61473171 : Rx: [10][19][D3][62][3C][0D][FF][34]
