*** New Session***
19-7-2018 15:18:48
Product Name: Flux -30%
105248015 : Rx: [10][19][0C][D0][DA][21][FF][34]
105248250 : Rx: [50][FF][FF][01][59][00][54][0B]
105248515 : Rx: [50][FF][FF][01][59][00][54][0B]
105248765 : Rx: [19][9E][46][C3][08][CF][20][33]
105249000 : Rx: [10][19][10][D8][B8][22][FF][34]
105249265 : Rx: [19][9F][48][95][09][D2][20][33]
105249515 : Rx: [10][19][12][DD][D4][22][FF][34]
105249750 : Rx: [19][A0][48][68][0A][D3][20][33]
105250015 : Rx: [10][19][14][E1][0C][23][FF][34]
105250265 : Rx: [19][A1][48][39][0B][D1][20][33]
105250500 : Rx: [10][19][16][E5][F0][22][FF][34]
105250750 : Rx: [19][A2][49][06][0C][CD][20][33]
105251000 : Rx: [10][19][18][E9][9D][22][FF][34]
105251265 : Rx: [19][A3][49][D5][0C][CF][20][33]
105251515 : Rx: [10][19][1A][ED][81][22][FF][34]
105251765 : Rx: [19][A4][49][A3][0D][CE][20][33]
105252015 : Rx: [10][19][1C][F1][81][22][FF][34]
105252250 : Rx: [19][A5][49][71][0E][CE][20][33]
105252515 : Rx: [10][19][1E][F6][65][22][FF][34]
105252765 : Rx: [19][A6][49][3F][0F][CE][20][33]
105253015 : Rx: [10][19][20][FA][B8][22][FF][34]
105253265 : Rx: [19][A7][49][11][10][D2][20][33]
105253500 : Rx: [10][19][22][FE][F0][22][FF][34]
105253750 : Rx: [19][A8][49][E4][10][D3][20][33]
105254000 : Rx: [10][19][24][02][F0][22][FF][34]
105254250 : Rx: [19][A9][49][7C][11][98][20][33]
105254500 : Rx fail
105254750 : Rx: [19][AA][49][51][12][D5][20][33]
105255000 : Rx: [10][19][28][0B][65][22][FF][34]
105255265 : Rx fail
105255500 : Rx fail
105255750 : Rx: [19][AC][49][38][14][04][21][33]
105256000 : Rx fail
105256265 : Rx: [19][AD][48][29][15][F1][20][33]
105256500 : Rx: [10][19][2E][18][31][26][FF][34]
105256750 : Rx: [F0][00][00][00][00][00][00][00]
105257000 : Rx: [10][19][30][1D][BC][26][FF][34]
105257250 : Rx: [19][AE][48][1E][16][F5][20][33]
105257515 : Rx: [10][19][32][22][2B][27][FF][34]
105257765 : Rx: [19][AF][4B][16][17][F8][20][33]
105258015 : Rx: [10][19][34][27][B6][27][FF][34]
105258250 : Rx: [19][B0][4B][0A][18][F4][20][33]
105258515 : Rx: [10][19][36][2C][41][28][FF][34]
105258765 : Rx: [19][B1][50][0B][19][01][21][33]
105259000 : Rx: [10][19][38][31][B0][28][FF][34]
105259250 : Rx: [19][B2][50][0B][1A][00][21][33]
105259500 : Rx: [10][19][3A][36][04][29][FF][34]
105259765 : Rx: [19][B3][52][0C][1B][01][21][33]
105260015 : Rx: [10][19][3C][3B][3B][29][FF][34]
105260250 : Rx: [19][B4][52][08][1C][FC][20][33]
105260515 : Rx: [10][19][3E][40][1F][29][FF][34]
105260765 : Rx: [19][B5][52][06][1D][FE][20][33]
105261000 : Rx: [10][19][40][45][3B][29][FF][34]
105261265 : Rx: [19][B6][53][05][1E][FF][20][33]
105261500 : Rx: [10][19][42][4A][C6][29][FF][34]
105261750 : Rx: [19][B7][53][10][1F][0B][21][33]
105262015 : Rx: [10][19][44][4A][C6][29][FF][34]
105262265 : Rx: [19][B8][52][2C][20][1C][21][33]
105262500 : Rx: [10][19][46][54][DC][2A][FF][34]
105262750 : Rx: [19][B9][52][3C][21][10][21][33]
105263000 : Rx: [10][19][48][59][4B][2B][FF][34]
105263250 : Rx: [19][BA][52][49][22][0D][21][33]
105263515 : Rx: [10][19][4A][5F][BA][2B][FF][34]
105263765 : Rx: [19][BB][52][60][23][17][21][33]
105264000 : Rx: [10][19][4C][64][0D][2C][FF][34]
105264265 : Rx: [19][BC][54][79][24][19][21][33]
105264515 : Rx: [10][19][4E][69][61][2C][FF][34]
105264765 : Rx: [51][FF][02][14][87][9E][5C][33]
105265015 : Rx: [51][FF][02][14][87][9E][5C][33]
105265250 : Rx: [19][BD][54][92][25][19][21][33]
105265515 : Rx: [10][19][52][74][B4][2C][FF][34]
105265765 : Rx: [19][BE][58][AA][26][18][21][33]
105266000 : Rx: [10][19][54][7A][7C][2C][FF][34]
