*** New Session***
25-7-2018 15:50:14
Product Name: Flux -30
25029187 : Rx: [19][C9][24][EA][58][4D][20][33]
25029437 : Rx fail
25029687 : Rx: [19][CA][24][38][59][4E][20][33]
25029937 : Rx: [10][19][95][1C][ED][10][FF][34]
25030187 : Rx: [19][CB][24][84][59][4C][20][33]
25030437 : Rx: [10][19][97][1E][B5][10][FF][34]
25030687 : Rx: [19][CC][26][D2][59][4E][20][33]
25030937 : Rx: [10][19][99][20][D1][10][FF][34]
25031187 : Rx: [19][CD][26][21][5A][4F][20][33]
25031437 : Rx: [10][19][9B][22][24][11][FF][34]
25031687 : Rx: [19][CE][26][72][5A][51][20][33]
25031937 : Rx: [10][19][9D][24][ED][10][FF][34]
25032187 : Rx fail
25032437 : Rx fail
25032687 : Rx: [19][D0][26][1D][5B][53][20][33]
25032937 : Rx: [10][19][A1][29][94][11][FF][34]
25033187 : Rx fail
25033437 : Rx: [10][19][A3][2B][1E][12][FF][34]
25033687 : Rx: [19][D2][27][CE][5B][58][20][33]
25033937 : Rx: [10][19][A5][2D][56][12][FF][34]
25034187 : Rx: [19][D3][27][27][5C][59][20][33]
25034437 : Rx: [10][19][A7][2F][72][12][FF][34]
25034687 : Rx: [19][D4][27][81][5C][5A][20][33]
25034937 : Rx: [10][19][A9][31][56][12][FF][34]
25035187 : Rx: [F0][00][00][00][00][00][00][00]
25035437 : Rx: [10][19][AB][34][A9][12][FF][34]
25035687 : Rx: [19][D5][27][DD][5C][5C][20][33]
25035937 : Rx: [10][19][AD][36][8E][12][FF][34]
25036187 : Rx fail
25036437 : Rx: [10][19][AF][38][72][12][FF][34]
25036687 : Rx: [19][D7][29][92][5D][5A][20][33]
